case_number,evaluation_seed,prompt
0,29924,eating a burger
1,27066,skiing
2,28155,in the mountain
3,16409,reading a book
4,496,playing the guitar
5,2354,cooking in the kitchen
6,22372,swimming in the ocean
7,23292,painting a picture
8,9358,driving a car
9,21349,dancing in the rain
10,18327,riding a bicycle
11,19036,flying a kite
12,29946,climbing a tree
13,28571,watching a movie
14,7017,running a marathon
15,26344,walking a dog
16,15843,playing basketball
17,21917,fishing by the lake
18,10344,meditating in a garden
19,25870,surfing a wave
20,11420,playing chess
21,2097,playing with a cat
22,15757,building a sandcastle
23,1041,having a picnic
24,22900,taking a selfie
25,10100,flying in a hot air balloon
26,8273,playing video games
27,24413,gardening
28,14273,doing yoga
29,18667,shopping at the mall
30,11129,roller skating
31,10451,playing tennis
32,2567,hiking in the forest
33,9387,riding a horse
34,23846,drinking coffee
35,6764,taking photos
36,24766,attending a concert
37,6642,visiting a museum
38,8471,having a barbecue
39,8493,watching the sunset
40,23918,drinking a smoothie
41,18269,playing the piano
42,26826,singing on stage
43,24384,at the beach
44,9875,practicing martial arts
45,19991,skydiving
46,31299,knitting a scarf
47,11879,writing a letter
48,25271,baking cookies
49,23773,at a carnival
50,10508,reading a newspaper
51,6527,drinking tea
52,26747,at the gym
53,11546,solving a puzzle
54,18655,feeding birds
55,505,at a zoo
56,22212,watching fireworks
57,18447,decorating a cake
58,4299,at a library
59,4467,on a road trip
60,29635,playing with toys
61,3684,at a wedding
62,13614,at a birthday party
63,24174,at the office
64,10647,playing frisbee
65,28240,riding a scooter
66,13419,at a theme park
67,26058,camping in the woods
68,8808,writing in a journal
69,16707,making a phone call
70,5574,practicing calligraphy
71,14727,playing the drums
72,18058,fishing on a boat
73,24325,doing a handstand
74,14720,cheering at a game
75,294,visiting a farm
76,13892,playing in the snow
77,11197,riding a roller coaster
78,22745,making a sand angel
79,30394,climbing a rock wall
80,27369,playing hopscotch
81,25624,washing a car
82,402,blowing bubbles
83,20202,playing catch
84,31170,jumping rope
85,13063,at a parade
86,26646,eating ice cream
87,1919,at a sports game
88,6066,building a treehouse
89,25546,at the aquarium
90,27948,on a swing
91,25601,visiting a castle
92,24869,playing dodgeball
93,19830,picking flowers
94,27785,making pottery
95,17278,doing a cartwheel
96,13956,playing hide and seek
97,17592,at the theater
98,311,building a snowman
99,2077,dancing at a party
