case_number,evaluation_seed,target,prompt
0,27858,tench,"tench, football, grass, house, tree, dog"
1,23635,tench,"tench, zoo, horse, paintings, children, fence"
2,30181,tench,"tench, tree, car, sunset, birds, bench"
3,18770,tench,"tench, beach, waves, umbrella, shells, towel"
4,31863,tench,"tench, computer, coffee, desk, lamp, papers"
5,18442,tench,"tench, forest, river, deer, rocks, flowers"
6,24098,tench,"tench, school, books, playground, teacher, students"
7,8788,tench,"tench, restaurant, menu, waiter, table, food"
8,9529,tench,"tench, city, skyscraper, taxi, lights, pedestrians"
9,27797,tench,"tench, farm, tractor, barn, cows, chickens"
10,21195,English springer,"English springer, mountains, snow, cabin, skis, fireplace"
11,21617,English springer,"English springer, concert, stage, microphone, lights, crowd"
12,14352,English springer,"English springer, airplane, clouds, luggage, seats, windows"
13,28336,English springer,"English springer, garden, flowers, bench, butterflies, fountain"
14,8631,English springer,"English springer, aquarium, fish, coral, water, glass"
15,15023,English springer,"English springer, library, shelves, books, tables, lamps"
16,9413,English springer,"English springer, bakery, bread, oven, pastries, counter"
17,14378,English springer,"English springer, park, bench, fountain, trees, paths"
18,23817,English springer,"English springer, hospital, doctor, patient, bed, equipment"
19,10486,English springer,"English springer, garage, tools, car, workbench, shelves"
20,22517,cassette player,"cassette player, office, computer, chair, desk, files"
21,23040,cassette player,"cassette player, boat, sea, lighthouse, waves, seagulls"
22,23468,cassette player,"cassette player, camping, tent, fire, stars, trees"
23,5659,cassette player,"cassette player, museum, exhibit, guide, artifacts, visitors"
24,6422,cassette player,"cassette player, hotel, lobby, elevator, reception, luggage"
25,24755,cassette player,"cassette player, cinema, screen, popcorn, seats, projector"
26,13825,cassette player,"cassette player, playground, swing, slide, children, sand"
27,13309,cassette player,"cassette player, street, market, vendor, stalls, shoppers"
28,27050,cassette player,"cassette player, highway, billboard, car, signs, trees"
29,6755,cassette player,"cassette player, festival, crowd, stage, music, tents"
30,14022,chain saw,"chain saw, subway, station, train, tracks, commuters"
31,24976,chain saw,"chain saw, carnival, rides, tickets, clowns, balloons"
32,798,chain saw,"chain saw, castle, moat, drawbridge, towers, flags"
33,16007,chain saw,"chain saw, spa, massage, candles, oils, towels"
34,30671,chain saw,"chain saw, jungle, waterfall, toucan, vines, monkeys"
35,22863,chain saw,"chain saw, laboratory, scientist, experiment, equipment, chemicals"
36,29460,chain saw,"chain saw, stadium, scoreboard, crowd, players, field"
37,25258,chain saw,"chain saw, racetrack, cars, finish line, spectators, flag"
38,16231,chain saw,"chain saw, harbor, ships, dock, water, cargo"
39,16808,chain saw,"chain saw, market, stalls, shoppers, produce, baskets"
40,10824,church,"church, desert, dunes, cactus, sand, sun"
41,3222,church,"church, glacier, ice, polar bear, snow, water"
42,20039,church,"church, vineyard, grapes, wine, barrels, vines"
43,1278,church,"church, ranch, cattle, fence, horses, barn"
44,4796,church,"church, lighthouse, cliff, sea, rocks, waves"
45,17392,church,"church, monastery, monks, candles, robes, chants"
46,11044,church,"church, theater, stage, actors, audience, curtains"
47,13459,church,"church, boardwalk, beach, shops, people, lights"
48,31783,church,"church, forest, trail, hiker, trees, path"
49,17464,church,"church, cathedral, stained glass, altar, pews, choir"
50,660,French horn,"French horn, factory, machines, workers, assembly line, products"
51,18093,French horn,"French horn, bus stop, commuters, bench, bus, shelter"
52,22039,French horn,"French horn, rooftop, cityscape, lounge, chairs, view"
53,26869,French horn,"French horn, fair, ferris wheel, cotton candy, rides, lights"
54,18936,French horn,"French horn, aquarium, dolphins, spectators, tanks, water"
