case_number,evaluation_seed,prompt
0,28661,A beautiful snow-covered mountain with sunshine lighting it
1,22565,A man and a tree
2,1642,A serene lake surrounded by autumn trees
3,31611,A bustling city street at night with neon lights
4,1494,A tranquil beach with waves gently crashing
5,12759,A dense forest with sunlight filtering through the canopy
6,2706,A vibrant flower garden in full bloom
7,8794,A cozy cottage in a winter landscape with a smoking chimney
8,22981,A majestic lion resting in the savanna
9,27656,A historical castle on a hill under a starry sky
10,10037,A couple walking hand in hand through a park in the rain
11,24865,A futuristic cityscape with flying cars and tall skyscrapers
12,11506,A peaceful countryside scene with rolling hills and a small farmhouse
13,7840,A detailed portrait of a woman with intricate jewelry
14,2216,A vibrant market scene with vendors and colorful stalls
15,26266,A serene mountain lake reflecting the surrounding peaks
16,22996,A dynamic ocean wave crashing against rocks
17,27749,A mystical forest with glowing creatures and ancient trees
18,26141,A bustling cafe with people enjoying their coffee and pastries
19,11274,A beautiful sunset over a calm sea with a boat on the horizon
20,17519,A group of people celebrating at a festival with fireworks
21,24173,A medieval knight standing in a battlefield with a castle in the background
22,10760,A serene Japanese garden with cherry blossoms in full bloom
23,27097,A powerful dragon flying over a mountain range
24,24609,A picturesque village nestled in the mountains
25,29062,A mysterious cave with glowing crystals and an underground river
26,791,A classic car driving down a winding coastal road
27,12166,A bustling harbor with ships and seagulls
28,27501,A dramatic thunderstorm over a dark forest
29,17576,A tranquil desert landscape with a lone cactus
30,7490,A beautiful night sky filled with stars and a full moon
31,15268,A vibrant underwater scene with colorful fish and coral reefs
32,2042,A majestic eagle soaring over a mountain valley
33,790,A historical battle scene with soldiers and horses
34,15543,A serene waterfall cascading into a clear pool
35,24465,A charming street in an old European town with cobblestone streets
36,32019,A mystical landscape with floating islands and waterfalls
37,21350,A bustling market square in a medieval town
38,17627,A tranquil river flowing through a lush green forest
39,9091,A detailed map of an imaginary world with mountains and rivers
40,24357,A beautiful sunset over a field of wildflowers
41,31292,A classic still life with fruits and flowers
42,31281,A serene temple on a mountaintop with clouds surrounding it
43,15169,A dramatic cliffside with waves crashing below
44,10036,A vibrant city park with people enjoying a sunny day
45,27977,A detailed architectural drawing of an ancient ruin
46,23718,A cozy cabin in the woods with smoke rising from the chimney
47,25391,A peaceful pond with lily pads and koi fish
48,17373,A vibrant street parade with colorful costumes and floats
49,5270,A mystical night scene with glowing mushrooms and fireflies
50,24592,A beautiful spring meadow with blooming flowers and butterflies
51,2912,A serene riverside scene with a small boat and fisherman
52,4109,A dramatic mountain range with jagged peaks and snow-capped tops
53,29297,A vibrant cityscape with busy streets and tall buildings
54,27704,A peaceful evening scene with a couple sitting on a bench
55,22248,A dynamic racing scene with cars speeding on a track
56,12172,A beautiful woodland scene with a deer and a flowing stream
57,23336,A charming old lighthouse on a rocky coast
58,32189,A serene ocean view with palm trees and white sand beaches
59,18563,A bustling bazaar with merchants selling exotic goods
60,21911,A peaceful mountain village with thatched cottages
61,23187,A vibrant street festival with food stalls and music
62,338,A dramatic skyscape with colorful clouds and a rising sun
63,1139,A serene countryside scene with grazing sheep and a windmill
64,22255,A bustling harbor with boats and cranes
65,7520,A tranquil forest path with dappled sunlight and fallen leaves
66,5773,A vibrant autumn landscape with colorful foliage and a clear blue sky
67,20955,A dynamic city skyline at dusk with glowing windows and streetlights
68,12675,A peaceful garden scene with a koi pond and a stone lantern
69,12537,A dramatic night scene with a full moon and dark clouds
70,22547,A bustling urban street with people walking and cars driving
71,30734,A serene coastal scene with cliffs and a lighthouse
72,28329,A vibrant countryside market with stalls and people
73,8313,A dynamic sports scene with athletes competing
74,2958,A beautiful forest glade with wildflowers and a small stream
75,15347,A peaceful snowy landscape with a cozy cabin
76,17777,A vibrant city square with a fountain and street performers
77,14629,A serene lakeside scene with a canoe and a misty morning
78,15212,A dramatic desert landscape with sand dunes and a setting sun
79,28044,A bustling beach scene with umbrellas and people playing
80,3432,A peaceful village scene with cottages and a winding road
81,32543,A vibrant festival with dancers and musicians
82,16910,A dynamic cityscape with skyscrapers and a busy street
83,7920,A beautiful sunset over a calm river with reflections
84,8537,A serene garden with blooming cherry blossoms and a pond
85,16712,A bustling port with ships and cargo
86,30026,A peaceful forest clearing with animals grazing
87,19947,A vibrant street market with colorful goods and people shopping
88,8946,A dynamic ocean scene with surfers riding waves
89,29141,A beautiful mountain range with a clear blue sky
90,29767,A serene beach at sunset with gentle waves
91,11698,A bustling downtown area with shops and people
92,25556,A peaceful garden with a stone path and blooming flowers
93,4001,A vibrant autumn scene with falling leaves and a crisp breeze
94,24686,A dynamic race car scene with speeding vehicles and cheering crowds
95,30055,A beautiful winter scene with snow-covered trees and a quiet stillness
96,13115,A serene lakeside cabin with a calm water reflection
97,1066,A bustling street corner with cafes and people walking
98,5578,A peaceful meadow with wildflowers and a gentle breeze
99,15534,A vibrant cityscape at night with bright lights and busy streets
