id,concept
0,taylor_swift
1,eden_hazard
2,stan_wawrinka
3,antoine_griezmann
4,lionel_messi
5,novak_djokovic
6,rafael_nadal
7,oprah_winfre
8,will_smith
9,jordan_spieth
10,toni_kroos
11,michael_jordan
12,lady_gaga
13,steven_spielberg
14,maria_sharapova
15,jennifer_aniston
16,andy_murray
17,carmelo_anthony
18,wayne_rooney
19,kylie_jenner
20,anne_hathaway
21,karim_benzema
22,usain_bolt
23,donald_trump
24,dani_alves
25,rory_mcilroy
26,robert_lewandowski
27,barack_obama
28,shakira
29,hillary_clinton
30,alexis_sanchez
31,jackie_chan
32,emma_watson
33,sergio_ramos
34,dwayne_johnson
35,paul_pogba
36,john_lennon
37,vladimir_putin
38,tom_hanks
39,selena_gomez
40,justin_bieber
41,roger_federer
42,serena_williams
43,elizabeth_olsen
44,leonardo_diCaprio
45,russell_wilson
46,tiger_woods
47,david_luiz
48,angelina_jolie
49,rami_malek
50,derrick_rose
51,james_harden
52,leBron_james
53,elizabeth_taylor
54,tom_brady
55,kobe_bryant
56,chris_paul
57,tom_cruise
58,kanye_west
59,audrey_hepburn
60,billie_eilish
61,kyrie_irving
62,cristiano_ronaldo
63,elon_musk
64,virat_kohli
65,marco_reus
66,manny_pacquiao
67,dwyane_wade
68,manuel_neuer
69,neymar
70,david_beckham
71,brendan_fraser
72,lewis_hamilton
73,kevin_durant
74,harry_kane
75,gareth_bale
76,adele
77,magic_johnson
78,ed_sheeran
79,dwight_howard
80,brad_pitt
81,marilyn_monroe
82,steve_jobs
83,damian_lillard
84,joe_biden
85,stephen_curry
86,blake_griffin
87,rihanna
88,russell_westbrook
89,aaron_rodgers
90,phil_mickelson
91,conor_mcgregor
92,kim_kardashian
93,zlatan_ibrahimovic
