case_number,evaluation_seed,prompt
0,25850,eating a burger
1,25065,skiing
2,30193,in the mountain
3,885,reading a book
4,30661,playing the guitar
5,14370,cooking in the kitchen
6,26105,swimming in the ocean
7,20340,painting a picture
8,22810,driving a car
9,16968,dancing in the rain
10,5152,riding a bicycle
11,2622,flying a kite
12,19145,climbing a tree
13,24857,watching a movie
14,11559,running a marathon
15,22432,walking a dog
16,2677,playing basketball
17,10523,fishing by the lake
18,10416,meditating in a garden
19,28057,surfing a wave
20,11412,playing chess
21,2808,playing with a cat
22,25156,building a sandcastle
23,15845,having a picnic
24,3025,taking a selfie
25,722,flying in a hot air balloon
26,13551,playing video games
27,18752,gardening
28,20514,doing yoga
29,15974,shopping at the mall
30,16767,roller skating
31,10006,playing tennis
32,7144,hiking in the forest
33,1571,riding a horse
34,14326,drinking coffee
35,17602,taking photos
36,24802,attending a concert
37,14305,visiting a museum
38,20617,having a barbecue
39,27725,watching the sunset
40,29759,drinking a smoothie
41,28261,playing the piano
42,10626,singing on stage
43,25369,at the beach
44,28028,practicing martial arts
45,5442,skydiving
46,25726,knitting a scarf
47,24438,writing a letter
48,21883,baking cookies
49,18795,at a carnival
50,20103,reading a newspaper
51,14496,drinking tea
52,28393,at the gym
53,25315,solving a puzzle
54,24165,feeding birds
55,3585,at a zoo
56,6454,watching fireworks
57,23753,decorating a cake
58,15223,at a library
59,9936,on a road trip
60,3262,playing with toys
61,10562,at a wedding
62,28656,at a birthday party
63,22277,at the office
64,15631,playing frisbee
65,19105,riding a scooter
66,22845,at a theme park
67,2300,camping in the woods
68,30428,writing in a journal
69,2759,making a phone call
70,8901,practicing calligraphy
71,25778,playing the drums
72,25780,fishing on a boat
73,18400,doing a handstand
74,22466,cheering at a game
75,3511,visiting a farm
76,3254,playing in the snow
77,208,riding a roller coaster
78,9862,making a sand angel
79,20468,climbing a rock wall
80,14503,playing hopscotch
81,13321,washing a car
82,3126,blowing bubbles
83,9342,playing catch
84,25400,jumping rope
85,418,at a parade
86,16356,eating ice cream
87,28992,at a sports game
88,3320,building a treehouse
89,6418,at the aquarium
90,16175,on a swing
91,13194,visiting a castle
92,808,playing dodgeball
93,29484,picking flowers
94,18123,making pottery
95,29949,doing a cartwheel
96,6944,playing hide and seek
97,5473,at the theater
98,24397,building a snowman
99,18499,dancing at a party
