case_number,evaluation_seed,prompt
0,27858,"football, grass, house, tree, dog"
1,23635,"zoo, horse, paintings, children, fence"
2,30181,"tree, car, sunset, birds, bench"
3,18770,"beach, waves, umbrella, shells, towel"
4,31863,"computer, coffee, desk, lamp, papers"
5,18442,"forest, river, deer, rocks, flowers"
6,24098,"school, books, playground, teacher, students"
7,8788,"restaurant, menu, waiter, table, food"
8,9529,"city, skyscraper, taxi, lights, pedestrians"
9,27797,"farm, tractor, barn, cows, chickens"
10,21195,"mountains, snow, cabin, skis, fireplace"
11,21617,"concert, stage, microphone, lights, crowd"
12,14352,"airplane, clouds, luggage, seats, windows"
13,28336,"garden, flowers, bench, butterflies, fountain"
14,8631,"aquarium, fish, coral, water, glass"
15,15023,"library, shelves, books, tables, lamps"
16,9413,"bakery, bread, oven, pastries, counter"
17,14378,"park, bench, fountain, trees, paths"
18,23817,"hospital, doctor, patient, bed, equipment"
19,10486,"garage, tools, car, workbench, shelves"
20,22517,"office, computer, chair, desk, files"
21,23040,"boat, sea, lighthouse, waves, seagulls"
22,23468,"camping, tent, fire, stars, trees"
23,5659,"museum, exhibit, guide, artifacts, visitors"
24,6422,"hotel, lobby, elevator, reception, luggage"
25,24755,"cinema, screen, popcorn, seats, projector"
26,13825,"playground, swing, slide, children, sand"
27,13309,"street, market, vendor, stalls, shoppers"
28,27050,"highway, billboard, car, signs, trees"
29,6755,"festival, crowd, stage, music, tents"
30,14022,"subway, station, train, tracks, commuters"
31,24976,"carnival, rides, tickets, clowns, balloons"
32,798,"castle, moat, drawbridge, towers, flags"
33,16007,"spa, massage, candles, oils, towels"
34,30671,"jungle, waterfall, toucan, vines, monkeys"
35,22863,"laboratory, scientist, experiment, equipment, chemicals"
36,29460,"stadium, scoreboard, crowd, players, field"
37,25258,"racetrack, cars, finish line, spectators, flag"
38,16231,"harbor, ships, dock, water, cargo"
39,16808,"market, stalls, shoppers, produce, baskets"
40,10824,"desert, dunes, cactus, sand, sun"
41,3222,"glacier, ice, polar bear, snow, water"
42,20039,"vineyard, grapes, wine, barrels, vines"
43,1278,"ranch, cattle, fence, horses, barn"
44,4796,"lighthouse, cliff, sea, rocks, waves"
45,17392,"monastery, monks, candles, robes, chants"
46,11044,"theater, stage, actors, audience, curtains"
47,13459,"boardwalk, beach, shops, people, lights"
48,31783,"forest, trail, hiker, trees, path"
49,17464,"cathedral, stained glass, altar, pews, choir"
50,660,"factory, machines, workers, assembly line, products"
51,18093,"bus stop, commuters, bench, bus, shelter"
52,22039,"rooftop, cityscape, lounge, chairs, view"
53,26869,"fair, ferris wheel, cotton candy, rides, lights"
54,18936,"aquarium, dolphins, spectators, tanks, water"
55,19883,"bridge, river, boat, arches, railings"
56,1222,"waterfall, rocks, forest, mist, trees"
57,10797,"observatory, telescope, stars, dome, sky"
58,24340,"campsite, tent, campfire, trees, marshmallows"
59,8980,"lake, dock, boat, water, mountains"
60,1674,"riverbank, fisherman, rod, water, trees"
61,17386,"gallery, paintings, visitors, frames, lights"
62,31935,"garden, gazebo, pond, flowers, bench"
63,22704,"mountain, cabin, snow, trees, path"
64,10457,"sidewalk, cafe, people, tables, umbrellas"
65,19340,"fairground, carousel, lights, music, people"
66,12782,"restaurant, table, menu, waiter, food"
67,32195,"marina, yachts, sunset, water, pier"
68,16751,"station, train, passengers, platform, tracks"
69,17683,"orchard, trees, apples, baskets, ladder"
70,31255,"planetarium, stars, projector, seats, dome"
71,10969,"forest, cabin, snow, trees, smoke"
72,26536,"library, books, students, shelves, desks"
73,12399,"studio, canvas, paint, brushes, easel"
74,15620,"garden, flowers, bees, plants, soil"
75,2602,"vineyard, grapes, barrels, vines, bottles"
76,17269,"marketplace, stalls, spices, people, goods"
77,22614,"river, canoe, paddles, water, trees"
78,15020,"stadium, players, crowd, field, lights"
79,22159,"theater, curtains, performance, actors, stage"
80,5525,"farm, animals, barn, fields, tractor"
81,12158,"desert, camel, oasis, sand, palms"
82,31444,"city, park, joggers, trees, benches"
83,14380,"mountain, trail, climbers, rocks, sky"
84,23569,"countryside, cottage, fields, trees, sky"
85,19392,"island, beach, palm trees, sand, water"
86,28356,"space, stars, rocket, planets, sky"
87,28667,"road, motorcycles, mountains, sky, trees"
88,14706,"festival, parade, balloons, floats, crowd"
89,17815,"sky, airplane, clouds, sun, horizon"
90,14681,"river, bridge, ducks, water, trees"
91,16198,"pier, fishermen, boats, water, sky"
92,12554,"bakery, cakes, pastries, counter, oven"
93,27037,"barn, horses, hay, stalls, farmer"
94,18563,"airport, planes, terminal, passengers, gates"
95,24515,"mountain, valley, village, houses, trees"
96,28780,"jungle, animals, explorer, trees, vines"
97,22999,"plaza, fountain, pigeons, people, shops"
98,7022,"forest, stream, deer, trees, rocks"
99,10915,"city, skyline, fireworks, night, lights"
